idVotacao,dataHoraVoto,voto,deputado_id,deputado_nome,deputado_siglaPartido,deputado_siglaUf,tema
2226362-7,2019-10-30 20:55:33,Sim,204463,Wladimir Garotinho,PSD,RJ,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:55:35,Sim,178829,Capitão Augusto,PL,SP,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:55:36,Sim,204377,Paula Belmonte,CIDADANIA,DF,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:55:36,Sim,204359,Léo Moraes,PODE,RO,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:55:36,Não,69871,Bacelar,PODE,BA,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:55:36,Sim,160528,Danilo Cabral,PSB,PE,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:55:37,Sim,204540,Maria Rosas,REPUBLICANOS,SP,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:55:38,Sim,74376,Vander Loubet,PT,MS,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:55:39,Sim,178994,Dulce Miranda,MDB,TO,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:55:39,Obstrução,204489,Robério Monteiro,PDT,CE,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:55:41,Sim,204363,Osires Damaso,PSC,TO,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:55:41,Sim,204474,Juarez Costa,MDB,MT,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:55:43,Obstrução,74057,Alice Portugal,PCdoB,BA,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:55:45,Sim,133810,Marcelo Moraes,PTB,RS,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:55:46,Sim,204478,Vinicius Farah,MDB,RJ,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:55:47,Obstrução,73943,Perpétua Almeida,PCdoB,AC,Finanças Públicas e Orçamento
