uriProposicao,siglaTipo,numero,ano,codTema,tema,relevancia
https://dadosabertos.camara.leg.br/api/v2/proposicoes/292269,REP,30,2005.0,53,Processo Legislativo e Atuação Parlamentar,3
https://dadosabertos.camara.leg.br/api/v2/proposicoes/292269,REP,30,2005.0,34,Administração Pública,2
https://dadosabertos.camara.leg.br/api/v2/proposicoes/285681,SIT,30,2005.0,40,Economia,2
https://dadosabertos.camara.leg.br/api/v2/proposicoes/306491,PLV,30,2005.0,70,Finanças Públicas e Orçamento,0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/306491,PLV,30,2005.0,61,"Viação, Transporte e Mobilidade",0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/309792,EMS,31,2005.0,51,Estrutura Fundiária,0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/309792,EMS,31,2005.0,52,Previdência e Assistência Social,0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/292825,REP,31,2005.0,53,Processo Legislativo e Atuação Parlamentar,4
https://dadosabertos.camara.leg.br/api/v2/proposicoes/292825,REP,31,2005.0,34,Administração Pública,2
https://dadosabertos.camara.leg.br/api/v2/proposicoes/306851,PLV,31,2005.0,40,Economia,0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/295136,REP,32,2005.0,53,Processo Legislativo e Atuação Parlamentar,5
https://dadosabertos.camara.leg.br/api/v2/proposicoes/295136,REP,32,2005.0,34,Administração Pública,2
https://dadosabertos.camara.leg.br/api/v2/proposicoes/274856,MSC,32,2005.0,37,Comunicações,2
https://dadosabertos.camara.leg.br/api/v2/proposicoes/295138,REP,33,2005.0,53,Processo Legislativo e Atuação Parlamentar,5
https://dadosabertos.camara.leg.br/api/v2/proposicoes/295138,REP,33,2005.0,34,Administração Pública,2
https://dadosabertos.camara.leg.br/api/v2/proposicoes/302710,SIT,33,2005.0,70,Finanças Públicas e Orçamento,2
https://dadosabertos.camara.leg.br/api/v2/proposicoes/295139,REP,34,2005.0,53,Processo Legislativo e Atuação Parlamentar,5
https://dadosabertos.camara.leg.br/api/v2/proposicoes/295139,REP,34,2005.0,34,Administração Pública,2
https://dadosabertos.camara.leg.br/api/v2/proposicoes/295141,REP,35,2005.0,53,Processo Legislativo e Atuação Parlamentar,5
